,song-name,lyrics,release-year,genius-path
47,Hunchy’s Back,instrumental,0,/Kurt-vile-hunchys-back-lyrics
48,Hysteria,don't you know i never knew you but i but i think i love you girl and what's your name boy you know the devil's in the details  like mm girl you gave me rabies and i don't mean maybe  don't you know i never knew you but i but i think i love you girl and what's your name boy you know the devils in the details like mm girl you gave me rabies and i don't mean maybe i took a drink of head dream smoothie all of a sudden i'm feeling very loopy don't you know i really love you now   stop this plane 'cause i wanna get off pull over somewhere on the side of a cloud watch me get out watch me go down and the rest is hysteria and i stole that but hey mom look at me now stop this plane 'cause i wanna get off pull over somewhere on the side of a cloud and watch me get out watch me go down and the rest is hysteria and i stole that but hey mom look at me now that's what it's all about ,2018,/Kurt-vile-hysteria-lyrics
49,I Know I Got Religion,yeah i know i got religion it took me away it took me away yeah relocating my caddy to the golden highway getting myself all cracked up on the poppy and pills cranberry orange vodka spills but i can see those distant hills and this is where i want to be with human of her craft is made now everything i see like jesus drafted me yeah i dropped myself a penny off the william penn's head yeah i watched the fall off the city hall yeah i get my pictures in seventysix friends of the mind in a jar of the psychedelical kind i won't be kind i won't rewind the friends that i had played too cool i cut them off from the fire now i stopped using picks and not a thing between me and my guitar now i'm strumming away everyday when i feel blue i write a strummer for you you yourself have said we can't get an ahead but i said that you have won if we got religion religion it's got me in its sway it's got me in its sway yeah i know i got religion it took me away it took me away yeah relocating my caddy to the golden highway,2010,/Kurt-vile-i-know-i-got-religion-lyrics
50,I’m an Outlaw,girl you got wise blood to come when summoned i'm an outlaw on the brink of selfimplosion alone in a crowd on the corner goin' nowhere slow  i'm an outlaw on the brink of selfimplosion alone in a crowd on the corner in my walkman in a snowglobe goin' nowhere slow  i'm an outlaw by the ocean watch it come crashing against my skin he'd go from gene clark to clarence white and then he's alright i'm an outlaw on the brink of imploding alone in a crowd on the corner burned from vinyl dimed from cans to the dome  i'm an outlaw under orion's belt what a dumb thing to sing but it had a ring to it girl you got wise blood to come when summoned as my right eardrum drones on through the night now  under exile 'neath constellations just to idle there in slow motion so is the life of the outlaw as a villain as a snakecharming vile human being i'm an outlaw bitch,2015,/Kurt-vile-im-an-outlaw-lyrics
51,In My Time,in my day i was young and crazy sure i didn't know shit but now i'm lazy one day i won't even know what was better then again now i want not much of nothing anyway  two of us one on each shoulder i'm tryin' to turn we're pullin' over on this shoulder ain't drivin' i know when i get older i'm dyin' but i got everything i need and now it's fine now it's fine now it's fine in my time i was whack and wild i was just being myself then but then i sat there just tryin' on faces wanna erase how discreet disgrace is  pulling over on the shoulder ain't drivin' put two of us one on each shoulder i'm tryin' to turn i know when we get older i'm dyin' well i got everything i need now and it's fine now it's fine now it's fine,2011,/Kurt-vile-in-my-time-lyrics
53,Intro In Z,instrumental,0,/Kurt-vile-intro-in-z-lyrics
54,Invisibility: Nonexistent,well i've got a lot to say in my own way it won't materialize in speech you'll only see it in the structure of skin of secondhand smoke you know that it's a joke you know that we could put you on  i was destroyed by death today perhaps i'll run away there is no peace in songs they sing maybe some comfort is to come travelling i find it in a dog i find it in a drug i find it but i don't know where to put it then it's gone my transport has arrived my chariot's awaitin' down yonder under the hill  invisibility  nonexistant,2010,/Kurt-vile-invisibility-nonexistent-lyrics
55,I Wanted Everything,i wanted everything  but i think that i only got most of it lord willing and if the creek don't rise i'm gonna love ya all the time i ain't never gonna go to work no more kickin and screamin and alright i'm goin out the door i wanted everything  but i think that i only got most of it lord willing and if the creek don't rise i'm gonna sit around til i get wise i ain't never goin to go work no more cos i was an old man and that's all i ever did i wanted everything  but i think that i only got most of it,2010,/Kurt-vile-i-wanted-everything-lyrics
56,Jesus Fever,i'd pack my suitcase with myself but i'm already gone cleanse myself with vitamin health but i'm already gone  i saw it rising through the horizon and i saw it fall a jesus fever's flowin' all over believers and lovers  in a blackhole i found a broken skull now i'm already gone you can write my whole life down in a little book when i'm already gone i started shaking and my heart breaking and my belly crawls a jesus fever's flowin' all over believers and lovers  when i am a ghost i'll see no reason to run when i'm already gone if it wasn't taped you could escape this song but i'm already gone,2011,/Kurt-vile-jesus-fever-lyrics
57,Jesus On A Wire, jesus on the phone talking bout a nervous breakdown even he dont know how to bail us out of this one what a mess i sing to myself thinkin bout another song i wanna reach out to old jesus tell him i too feel alone and im here to save ya  jesus on a wire and hes lookin very tired and me i dont blame him and i almost want to claim him so i ring a couple chords out on my martin double o and i see them floating upward and i watch em as they go into the pockets of judas iscariot in the sky up through the cracks in the ceiling     jesus on the edge and i feel the same way lately and he hammers down some numbers and it shakes the sky like thunder i saw him risin oer the horizon and i saw him fall when the scene dissipated and the world just waited and waited for a return   built,2022,/Kurt-vile-jesus-on-a-wire-lyrics
